GAME_ID,NAME,BOX_ART,DETAILS_URL,MAIN_STORY_LENGTH,MAIN_EXTRA_LENGTH,COMPLETIONIST_LENGTH,COMBINED_LENGTH
55,101 Ways to Die,gameimages/40891_101_ways_to_die.jpg,game.php?id=40891,9,-1,-1,9
56,10 Minute Tower,gameimages/40598_10_Minute_Tower.jpg,game.php?id=40598,-1,-1,-1,-1
57,100ft Robot Golf,gameimages/40497_100ft_Robot_Golf.jpg,game.php?id=40497,-1,-1,-1,-1
58,15 Defense,gameimages/48830_15_defense.jpg,game.php?id=48830,-1,-1,-1,-1
59,1942: The Pacific Air War,gameimages/1942_The_Pacific_Air_War_header.jpg,game.php?id=28327,-1,-1,11,11
60,101-in-1 Explosive Megamix,gameimages/101-in-1_Explosive_Megamix.jpg,game.php?id=39,-1,-1,20,20
61,1849,gameimages/1849-better-feature.jpg,game.php?id=17620,12.5,14,15,13.5
62,1000 Tiny Claws,gameimages/2616784-9951461664-ps3_1.jpg,game.php?id=17582,4,-1,-1,4
63,18 Wheeler: American Pro Trucker,gameimages/18_Wheeler_American_Pro_Trucker_cover_art.jpg,game.php?id=48,1,-1,3,1.5
64,10 Pin Bowling,gameimages/10pinbowling.jpg,game.php?id=15035,-1,-1,3.5,3.5
65,14px,gameimages/14px-610x297.jpg,game.php?id=14999,-1,-1,-1,-1
66,1941: Counter Attack,gameimages/1941_ca_flyer.png,game.php?id=14249,29,-1,2,37
67,18 Wheels of Steel: Extreme Trucker 2,gameimages/18_Wheels_of_Steel_Extreme_Trucker_2.jpg,game.php?id=13473,-1,-1,-1,-1
68,19XX: The War Against Destiny,gameimages/19XX_the_war_game_flyer.png,game.php?id=59,39,-1,4,1
69,1991 Du Ma Racing,gameimages/544119-1991_du_ma_racing_large.png,game.php?id=58,-1,-1,-1,-1
70,1944: The Loop Master,gameimages/256px-1944_The_Loop_Master_flyer.jpg,game.php?id=57,46,47,-1,46
71,1943: The Battle of Midway,gameimages/1943_The_Battle_of_Midway_flyer.png,game.php?id=56,3,-1,-1,3
72,1942: Joint Strike,gameimages/1942jointstrike.jpg,game.php?id=55,1.5,-1,-1,1.5
73,1924,gameimages/1924_flash.png,game.php?id=52,15,-1,-1,15
74,11eyes CrossOver,gameimages/11eyesCrossOver.jpg,game.php?id=43,-1,-1,-1,-1
75,1916 - Der unbekannte Krieg,gameimages/1777447-1916___der_unbekannte_krieg_large.jpg,game.php?id=51,5,-1,25,16
76,187 Ride or Die,gameimages/187_Ride_or_Die.jpg,game.php?id=20001,-1,-1,-1,-1
77,1213: Special Edition,gameimages/1213-se.jpg,game.php?id=26454,2.5,4.5,-1,3.5
78,18 Wheels of Steel: Extreme Trucker,gameimages/18_Wheels_of_Steel_Extreme_Trucker_header.jpg,game.php?id=26226,-1,-1,-1,-1
79,101-in-1 Party Megamix,gameimages/24943_101-in-1_Party_Megamix.jpg,game.php?id=24943,-1,-1,-1,-1
